beta__0,beta__1,beta__2,beta__3
0.42656336498311687,0.450165075082551,-0.27423256721755096,-0.23561054087552558
0.42656336498311687,0.450165075082551,-0.27423256721755096,-0.23561054087552558
0.42656336498311687,0.450165075082551,-0.27423256721755096,-0.23561054087552558
0.4219512799508774,0.4475216981155158,-0.27431376171420563,-0.23641689620591452
0.3984136816739384,0.4276309067170988,-0.2718547548981028,-0.2533114174048144
-0.23206873828235752,0.3405621068503982,0.328498360060255,-0.44940428369530516
-0.2177038463993019,0.3359524787005534,0.3662550320694441,-0.4312241943368957
-0.18194231843159386,0.3100904032682397,0.42669733528739134,-0.4261756085819043
-0.15444871678940617,0.12657290915104927,0.8261735329849941,-0.5255940594547254
-0.1569057369043607,0.12003330475875015,0.821519891020188,-0.5545171301618027
-0.11694341018746153,-0.44460638726221124,1.391037532720326,-0.46056511554380736
-0.0780436459869591,-0.3968142460179392,1.114083104037976,-0.3427112897030674
-0.0780436459869591,-0.3968142460179392,1.114083104037976,-0.3427112897030674
-0.12993093561641764,-0.16935766675808672,1.2346449444342729,-0.6101486984664078
-0.1247903130543528,-0.1586960826654085,1.2361075306425588,-0.6067938527179514
-0.12561629726203563,-0.15176189611889687,1.2364883132624864,-0.6070556542103285
-0.13035174788504533,-0.1789445300823099,1.1351301102912807,-0.5383274387459993
-0.1302017472779465,-0.15714063039471057,1.0949519919499264,-0.5215040397437695
-0.1302017472779465,-0.15714063039471057,1.0949519919499264,-0.5215040397437695
-0.11065649690302319,-0.333528900387377,1.1907700333473377,-0.4107798396394249
-0.12674117101914323,-0.33715478455135095,1.1894338653226464,-0.4129423507908602
-0.10491577853282925,-0.4171589551233465,1.1216881154557448,-0.35667671701995723
-0.10907126839957045,-0.34829310691768306,1.2005568447916974,-0.4501964245712662
-0.1370486703802587,-0.24602716767168875,1.1790101220423803,-0.4787255630591768
-0.1370486703802587,-0.24602716767168875,1.1790101220423803,-0.4787255630591768
-0.150667307020992,-0.18881930990909707,1.0964923357551117,-0.4391755424950351
-0.05765267685844276,-0.29600457920143114,1.0642650118640082,-0.41145623581575186
-0.14748719565838242,-0.3705812659991878,1.2437558036107421,-0.421065688990399
-0.11847692677275805,-0.28333752586203825,1.126744957424692,-0.42925039001988496
-0.08326320972699637,-0.21586227542681852,1.1097492942746845,-0.5000597975696506
-0.08528631834602166,-0.2114966878032365,1.0934435906736648,-0.5170134292888503
-0.04675149346565943,-0.22780726237331048,1.084036627905434,-0.5270151495224634
-0.07581212282460276,-0.22319040863313452,1.1010608430395512,-0.5242230471748941
-0.12529914063098024,-0.2798171985368189,1.081154567398178,-0.4110483119697442
-0.08983905077106127,-0.22128117968010597,1.2295106847021227,-0.5458675326535779
-0.09573155622381443,-0.22971910270750187,1.2254822835576749,-0.5403624593954245
