beta__0,beta__1,beta__2,beta__3
-0.22395812299882967,0.3115792584615451,-0.35982309981050653,-0.38125912627124214
-0.22395812299882967,0.3115792584615451,-0.35982309981050653,-0.38125912627124214
-0.22395812299882967,0.3115792584615451,-0.35982309981050653,-0.38125912627124214
-0.2148333791267497,0.3183751833387534,-0.35578495841066454,-0.37699057374527833
-0.10483435615065247,0.46410039955238847,-0.20476603538887533,-0.2618455512806163
-0.1145602100772808,0.46579899635811706,-0.14345259288256015,-0.26834084218742876
-0.11463689108677477,0.4552536854860288,-0.1275630886813429,-0.2657384156808661
-0.1257194284318453,0.4304475457732853,-0.11730897089863755,-0.2620995329147773
-0.2326502867951223,0.35534646428246514,0.2753918416955385,-0.33495628538211203
-0.2373187983341437,0.32984330534799416,0.324461154798818,-0.33889303055254993
-0.2373187983341437,0.32984330534799416,0.324461154798818,-0.33889303055254993
-0.20506066032580317,0.3096684672437293,0.36048966216113665,-0.37463791433368393
-0.20042485346342356,0.03258056174448182,0.8296118403113429,-0.44733775685816507
-0.08569037324021399,-0.27711831177408874,1.1313846372529093,-0.4784544385976355
-0.13947917538756155,-0.20111440694915564,1.070164643073822,-0.46736154450920336
-0.13947917538756155,-0.20111440694915564,1.070164643073822,-0.46736154450920336
-0.09694117373867123,-0.23016758345551636,1.1260036563641087,-0.4784357803385679
-0.08139799557596333,-0.1343850585721333,0.9996784520393335,-0.4841062828931574
-0.124493841628497,-0.11804430038767694,0.9901798904775813,-0.5100163596866318
-0.124493841628497,-0.11804430038767694,0.9901798904775813,-0.5100163596866318
-0.12121951565288874,-0.18390548987735336,1.1261330113870156,-0.5528642303925468
-0.12314228978891657,-0.18384875933839215,1.1292070540146413,-0.557034724829816
-0.13941652671116267,-0.2528481008650495,0.9989248316877432,-0.3509297984296463
-0.11214758381941173,-0.2506281967666172,1.1787427520901683,-0.49144164139850294
-0.15572378615669002,-0.10159598462971119,0.975915595686043,-0.45506025538372624
-0.12692218188857712,-0.16592822356769002,1.0005600071328444,-0.4353575039304074
-0.14207108402026064,-0.17436785638146435,1.0165842266762113,-0.41794757894075313
-0.10216146668946839,-0.3052114915142775,1.2017917992321214,-0.4829043111702405
-0.05274328983941073,-0.2898489192860183,1.173865486999962,-0.5042319147051623
-0.0413449355664068,-0.2933024290690172,1.156054409467368,-0.5199368816276774
